2026-04-02T00:00:58.268048564Z [inf]  Please enter your phone (or bot token): channel_setup: admin sessions/967774221636 failed to add account, trying next: EOF when reading a line
2026-04-02T00:00:59.531969305Z [inf]  channel_setup: invite 8685508083 to channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:59.531974614Z [inf]  channel_setup: promote 8685508083 in channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:00:59.533479001Z [inf]  channel_setup: invite 8685508083 to groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:00:59.546001119Z [inf]  channel_setup: promote 8685508083 in groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:00.590288725Z [inf]  channel_setup: promote 8685508083 in broken failed: Invalid object ID for a user. Make sure to pass the right types, for instance making sure that the request is designed for users or otherwise look for a different one more suited (caused by EditAdminRequest)
2026-04-02T00:01:00.614796006Z [inf]  channel_setup: invite 8685508083 to invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:00.629673485Z [inf]  channel_setup: promote 8685508083 in invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:00.655177170Z [inf]  channel_setup: invite 8685508083 to addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:00.667987702Z [inf]  channel_setup: promote 8685508083 in addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:00.697768632Z [inf]  channel_setup: invite 8685508083 to bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:00.708606897Z [inf]  channel_setup: promote 8685508083 in bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:00.733502276Z [inf]  channel_setup: invite 8685508083 to other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:00.744468669Z [inf]  channel_setup: promote 8685508083 in other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:00.812520485Z [inf]  Please enter your phone (or bot token): channel_setup: admin sessions/967774221636 failed to add account, trying next: EOF when reading a line
2026-04-02T00:01:01.861034002Z [inf]  channel_setup: invite 8654849304 to channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:01.876908716Z [inf]  channel_setup: promote 8654849304 in channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:01.901499133Z [inf]  channel_setup: invite 8654849304 to groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:01.916933509Z [inf]  channel_setup: promote 8654849304 in groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:02.957105680Z [inf]  channel_setup: promote 8654849304 in broken failed: Invalid object ID for a user. Make sure to pass the right types, for instance making sure that the request is designed for users or otherwise look for a different one more suited (caused by EditAdminRequest)
2026-04-02T00:01:02.982699010Z [inf]  channel_setup: invite 8654849304 to invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:02.995427506Z [inf]  channel_setup: promote 8654849304 in invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:03.022732822Z [inf]  channel_setup: invite 8654849304 to addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:03.035738129Z [inf]  channel_setup: promote 8654849304 in addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:03.061416098Z [inf]  channel_setup: invite 8654849304 to bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:03.072045316Z [inf]  channel_setup: promote 8654849304 in bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:03.098437265Z [inf]  channel_setup: invite 8654849304 to other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:03.112892969Z [inf]  channel_setup: promote 8654849304 in other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:03.198870701Z [inf]  Please enter your phone (or bot token): channel_setup: admin sessions/967774221636 failed to add account, trying next: EOF when reading a line
2026-04-02T00:01:04.077875349Z [inf]  channel_setup: invite 8550709840 to channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:04.089898209Z [inf]  channel_setup: promote 8550709840 in channels failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:04.117359006Z [inf]  channel_setup: invite 8550709840 to groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:04.133070211Z [inf]  channel_setup: promote 8550709840 in groups failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:05.179911200Z [inf]  channel_setup: promote 8550709840 in broken failed: Invalid object ID for a user. Make sure to pass the right types, for instance making sure that the request is designed for users or otherwise look for a different one more suited (caused by EditAdminRequest)
2026-04-02T00:01:05.207394228Z [inf]  channel_setup: invite 8550709840 to invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:05.222819425Z [inf]  channel_setup: promote 8550709840 in invite failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:05.258651208Z [inf]  channel_setup: invite 8550709840 to addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:05.270077200Z [inf]  channel_setup: promote 8550709840 in addlist failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:05.299384561Z [inf]  channel_setup: invite 8550709840 to bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:05.317059403Z [inf]  channel_setup: promote 8550709840 in bots failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:05.346085401Z [inf]  channel_setup: invite 8550709840 to other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by InviteToChannelRequest)
2026-04-02T00:01:05.360336203Z [inf]  channel_setup: promote 8550709840 in other failed: Chat admin privileges are required to do that in the specified chat (for example, to send a message in a channel which is not yours), or invalid permissions used for the channel or group (caused by EditAdminRequest)
2026-04-02T00:01:15.999794046Z [inf]  Please enter your phone (or bot token): 
2026-04-02T00:02:55.665165118Z [inf]  connected: 'حساب 1' (sessions/967774221636)
2026-04-02T00:02:55.665171407Z [inf]  connected: 'MOH71 (@tawqalalaAllah)' (sessions/967714779528)
2026-04-02T00:02:55.665177806Z [inf]  connected: 'T' (sessions/967734549304)
2026-04-02T00:02:55.665184998Z [inf]  connected: 'M (@surgeonMohammed1)' (sessions/967773420488)
2026-04-02T00:02:55.665192675Z [inf]  connected: 'حساب 5' (sessions/967774122979)
2026-04-02T00:02:55.665200331Z [inf]  connected: 'حساب 6' (sessions/967736187958)
2026-04-02T00:02:55.665208591Z [inf]  poster: resolved 0/7 archive channels
2026-04-02T00:05:16.000819922Z [inf]  Please enter your phone (or bot token): Please enter your phone (or bot token): Please enter your phone (or bot token): Please enter your phone (or bot token): Please enter your phone (or bot token): Please enter your phone (or bot token): 
2026-04-02T00:05:37.000821607Z [inf]  Please enter your phone (or bot token): 
2026-04-02T00:18:26.428713044Z [inf]  Stopping Container
